Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Yu, Cheng-Long; Cheng, Hang; Qi, Yong; Song, Jie; Yang, Chen-Guang; Wen, Yu; Wang, Xiu-Feng; ",Comment on “Reversible disorder-order transitions in atomic crystal nucleation”,Science,375,6587,eabj1711,2022,American Association for the Advancement of Science
"Qi Yong, Jing Haizhao, Wu Xiwei; ",Variable Structure PID Controller for Satellite Attitude Control Considering Actuator Failure,APPLIED SCIENCES-BASEL,12,10,5273,2022,MDPI
"Qi, Yong; Qiu, Meng-Zhe; Jing, Hai-Zhao; Wang, Zhi-Qi; Yu, Cheng-Long; Zhu, Jian-Feng; Wang, Fen; Wang, Tian; ","End-to-end ancient ceramic classification toolkit based on deep learning: A case study of black glazed wares of Jian kilns (Song Dynasty, Fujian province)",Ceramics International,48,23,34516-34532,2022,Elsevier
"Qi, Yong; Jiang, Hefeifei; Li, Shaoxuan; Cao, Junyu; ",ConvLSTM coupled economics indicators quantitative trading decision model,Symmetry,14,9,1896,2022,MDPI
"Qi, Yong; Qiu, Mengzhe; Jiang, Hefeifei; Wang, Feiyang; ",Extracting fingerprint features using autoencoder networks for gender classification,Applied Sciences,12,19,10152,2022,MDPI
"Chen, Hua Sheng; Qi, Yong; Li, Wei Hua; ",A Dynamic Model of Hierarchical Application Layer Multicast Tree Node Failure Epidemic,Applied Mechanics and Materials,321,,2780-2784,2013,Trans Tech Publications Ltd
"Wang, Yonggui; Qi, Yong; Li, Jian; Huan, Le; Li, Yusen; Xie, Bitao; Wang, Yongshan; ",The wind and photovoltaic power forecasting method based on digital twins,Applied Sciences,13,14,8374,2023,MDPI
"Xiao, Xuan; Liu, Jiahang; Wang, Zhipeng; Zhou, Yanmin; Qi, Yong; Jiang, Shuo; He, Bin; Cheng, Qian; ",Robot learning in the era of foundation models: A survey,Neurocomputing,,,129963,2025,Elsevier
"Qi, Yong; Zhao, Fanghan; ",Saliency-Aware Automatic Buddhas Statue Recognition,arXiv preprint arXiv:2402.16980,,,,2024,
"Wang, Liyan; Yang, Jun; Wang, Yongshan; Qi, Yong; Wang, Shuai; Li, Jian; ",Integrating large language models (LLMs) and deep representations of emotional features for the recognition and evaluation of emotions in spoken English,Applied Sciences,14,9,3543,2024,MDPI
"Qi, Yong; Kyebambo, Gabriel; Xie, Siyuan; Shen, Wei; Wang, Shenghui; Xie, Bitao; He, Bin; Wang, Zhipeng; Jiang, Shuo; ",Safety control of service robots with LLMs and embodied knowledge graphs,arXiv preprint arXiv:2405.17846,,,,2024,
"Yang, Jun; Wang, Liyan; Qi, Yong; Chen, Haifeng; Li, Jian; ",Multimodal Information Fusion and Data Generation for Evaluation of Second Language Emotional Expression,Applied Sciences,14,19,9121,2024,MDPI
